
"Beer, 12 fl. oz.",145
"Beer, light, 12 fl. oz.",100
"Liquor, 100 proof, 1 fl. oz.",83
"Liquor, 80 proof, 1 fl. oz.",65
"Liquor, 86 proof, 1 fl. oz.",70
"Liquor, 90 proof, 1 fl. oz.",74
"Wine, 4 fl. oz.",100
"Beef n Cheddar, each",455
"Chicken breast, each",493
"Chicken club, each",610
"French fries, 2 1/2 oz.",246
"Ham n Cheese, each",292
"Jamocha shake, 11 1/2 fl. oz.",326
"Potato cakes, 1 serving",204
"Roast beef, each",353
"Super Roast Beef, each",501
"Turkey deluxe, each",375
"Bouillon, beef or chicken, instant, 1 tsp.",2
"Bouillon, beef or chicken, 1 cube",4
"Coca-Cola Classic, 12 fl. oz.",144
"Coca-Cola, New, 12 fl. oz.",154
"Coffee, 1 cup",2
"Coffee, Cafe Vienna, General Foods—6 fl. oz.",30
"Diet Coke, 12 fl. oz.",1
"Diet Pepsi, 12 fl. oz.",1
"Sprite, 12 fl. oz.",142
"Bagel, Sara Lee Deli style",230
"Bagel, plain, each",150
"Biscuit, home recipe—2  in.",108
"Blueberry muffin, 1 muffin",112
"Bread cubes, 1 cup",111
"Bread stuffing, dry, crumbly—1 cup",501
"Bread, rye, 1 slice",61
"Bread, white, 1 slice",68
"Bread, whole wheat, 1 slice",67
"Brown and serve roll, 1 roll",84
"Bun, hamburger, each",119
"Bun, hot dog, each",119
"Butter Tastin' Biscuit, 1869 Brand, each",100
"Buttermilk biscuit, fluffy, Hungry Jack, each",90
"Cornbread muffin, 1 muffin, home recipe",126
"Cornbread twists, 1 stick—Pillsbury",70
"Cornbread, from mix, 1/9 of 12 oz. mix, 1 egg, milk",178
"Crescent roll, 1 roll—Pillsbury",100
"Croissant, each",200
"Croutons, seasoned, 1/2 oz—Pepperidge Farm",70
"Dinner roll, cloverleaf or pan roll",83
"Eggo blueberry waffles, each",130
"Eggo buttermilk waffles, each",120
"Eggo oat bran waffles, each",110
"English muffin, Thomas', 1 muffin",130
"French bread, 1 slice",73
"Hoagie roll, 11 1/2 x 3  in.",392
"Lite bread, 1 slice—Merita lite wheat",40
"Lite pancake mix, 4 in. pancake—Aunt Jemima",43
"Oat bran muffin, 1 muffin—Duncan Hines",110
"Onion roll, Pepperidge Farm, each",150
"Pancake mix, 4 in. pancake—Aunt Jemima",83
"Pancakes, home recipe, 1 4 in. cake",62
"Pancakes, home recipe, 1 6 in. cake",169
"Pillsbury buttermilk biscuit, 1 biscuit",50
"Pita bread, 1/2 round bread, Mediterranean",80
"Taco shells, 1 shell—Old El Paso",55
"Bleu Cheese dressing, 1 packet",300
"Cheese Whopper, each",711
"Chef salad, each",180
"Chicken salad, each",140
"Chicken specialty, each",688
"Chicken Tenders, 1 piece",34
"Croissan'wich, Ham, egg and cheese",335
"Croissan'wich, Bacon, egg and cheese",355
"Croissan'wich, Sausage, egg and cheese",538
"French dressing, 1 packet",280
"French fries, 1 serving",227
"Garden salad, each",90
"House dressing, 1 packet",260
"Onion rings, 1 serving",274
"Reduced Italian dressing, 1 packet",30
"Salad bacon bits, 1 packet",16
"Salad croutons, 1 packet",29
"Thousand Island, 1 packet",240
"Vanilla milkshake, regular",321
"Whaler, each",488
"Whopper, each",628
"5th Avenue Bar, each",270
"Bar None, each",240
"Chocolate Caramel Figurine Bar, each",100
"Chocolate Figurine Diet Bar, each",100
"Figurine, Peanut Butter Chocolate, each",100
"Fruit Roll-Ups, 1/2 oz. roll",50
"Granola bar, Nature Valley, each, Oats 'n Honey",120
"Granola bar, Nature Valley, each, peanut butter",120
"Halvah, 1 oz. bar",160
"Hershey bar with almonds, each",250
"Hershey chocolate bar, each",250
"Hershey's Kisses, 9 pieces",220
"Hershey's Mr. Goodbar, each  1 3/4 oz.",300
"Hershey's Symphony chocolate, Almonds & Toffee Chips",220
"Kit Kat bar, each",250
"Krackel bar, each",250
"Kudos, chocolate chip, 1 granola bar",180
"M&Ms, peanut, 1 package",250
"M&Ms, plain, 1 package",240
"Mars bar, each",240
"Marshmallow, 1 large",23
"Peanut butter cups, Reese's—2 cups",280
"Reese's Pieces, 1 package, 1.95 oz.",270
"Rolo caramels, 9 pieces",270
"S'Mores Figurine Diet Bar, each",100
"Skor Toffee bar, each",220
"Snickers, each",275
"Twix candy bar, 1 package, 2 bars",280
"Vanilla Figurine Diet Bar, each",100
"Whatchamacallit candy bar, each",260
"Cheerios, 1 oz. or 1 1/4 cups",110
"Cracklin' Oat Bran, 1 oz. or 1/2 cup",110
"Honey Bunches of Oats, Post cereal—2/3 cup",110
"Kellogg's Corn Flakes, 1 oz. or 1 cup",100
"Kellogg's Crispix, 1 oz. or 1 cup",110
"Kellogg's Frosted Flakes, 1 oz. or 3/4 cup",110
"Kellogg's Heartwise, 1 oz. or 2/3 cup",90
"Kellogg's Product 19, 1 oz. or 1 cup",100
"Kellogg's Raisin Bran, 1 oz. or 3/4 cup",120
"Kellogg's Special K, 1 oz. or 1 cup",110
"Mueslix Crispy Blend, 1 oz. or 2/3 cup",160
"Mueslix Golden Crunch, 1 oz. or 1/2 cup",120
"Nature Valley cereal, toasted oat—1 cup",390
"Nut & Honey Crunch, 1 oz. or 2/3 cup",110
"Oatmeal, cooked, 1 cup",132
"Oatmeal, dry, 1 cup",312
"Rice Chex, 1 oz., or 1 1/8 cup",110
"Rice Krispies, 1 oz. or 1 cup",110
"Shredded wheat, regular, 1 biscuit",80
"Shredded Wheat Squares, Fruit—1 oz. or 1/2 cup",90
"Spoonsize shredded wheat, 1 cup",165
"Total cereal, 1 oz. or 1 cup",100
"Trix cereal, 1 oz. or 1 cup",110
"Wheat Chex, 1 oz.",100
"Wheaties, 1 oz. or 1 cup",100
"Butter cookies, 1 Danish butter cookie",23
"Chocolate chip cookie, home recipe",51
"Chocolate chip cookies, Girl Scout Country Hearth",35
"Chocolate chip cookies, Entenmann's",49
"Fig newtons, Lance, 1 package",150
"Girl Scout cookies, Trefoils—shortbread",30
"Girl Scout cookies, Country Hearth Choc Chip",35
"Girl Scout cookies, Thin Mints",40
"Girl Scout cookies, Do-si-dos p'nut butter",50
"Girl scout cookies, Cabana cremes",60
"Girl Scout cookies, Tagalongs—peanut butter",80
"Girl Scout Samoas, coconut cookie",80
"Nekot, Lance p'nut butter cookies",210
"Oatmeal cookie, 1 2 5/8 in. cookie",59
"Oatmeal raisin cookies, Entenmann's",49
"Oreos, each",50
"Pecan Sandy, each",80
"Sugar cookie, home recipe—2 1/4 in.",36
"Vanilla wafers cookies, Keebler",20
"American Heritage sesame crackers, 4 crackers",80
"Bacon crackers, 1 cracker—Nabisco",10
"Cheese crackers, Lance Toastchee—6 crackers",190
"Cheese on wheat, Lance crackers, 1 package",180
"Goldfish crackers, original, 45 crackers",140
"Goldfish crackers, pretzel, 40 crackers",120
"Ritz crackers, 4 crackers",70
"Rye-chee crackers, 1 package—Lance",190
"Saltine crackers, each",12
"Sunshine American Heritage, 1 wheat bran cracker",150
"Sunshine Cheez-it crackers, 12 crackers, 1/2 oz.",70
"Thin Bits, 12 crackers",70
"Town House crackers, 4 crackers",70
"Triscuit, 3 wafers",60
"Van-O-Lunch, Lance, 6 crackers",180
"Vegetable Thins, Nabisco—7 crackers",70
"Waverly wafers, 4 crackers",70
"Wheat Bran crackers, Sunshine, 1 cracker",15
"Wheat Thins, 8 crackers",70
"Butter, 1 tbsp",100
"Butter, 1 pat",36
"Butter, stick, 4 oz.",813
"Buttermilk, low-fat, 1 cup",90
"Cheese, American, 1 slice, Kraft",100
"Cheese, American ""Lite"", 1 slice",70
"Cheese, Brie, 1 oz.",95
"Cheese, Camembert, 1 oz.",85
"Cheese, cheddar, 1 oz., or 1/4 cup shredded",114
"Cheese, colby, 1 oz.",112
"Cheese, gouda, 1 oz.",101
"Cheese, liver, 1 oz.",86
"Cheese, Monterey jack, 1 oz.",106
"Cheese, mozarrella, skim, 1 oz., partly skim milk",79
"Cheese, mozzarella, 1 oz., or 1/4 cup shredded",90
"Cheese, muenster, 1 oz.",104
"Cheese, Parmesan, grated, 1 tbsp.",23
"Cheese, Parmesan, grated, 1 oz.",129
"Cheese, pimento, 1 oz.",106
"Cheese, provolone, 1 oz.",100
"Cheese, ricotta, 1 oz., part-skim",35
"Cheese, Swiss, 1 oz.",107
"Cheese, Swiss slices, 1 1/4 oz. 7 1/2 x 4  in. slice",130
"Cottage cheese, 1% fat, 1 cup",164
"Cottage cheese, 2% fat, 1 cup",203
"Cottage cheese, creamed, 1 cup",217
"Cottage cheese, dry curd, 1 cup",123
"Cream cheese, 1 oz.",414
"Cream cheese, light, Kraft—1 oz., 2 tbsp.",60
"Cream, light, 1 tbsp.",29
"Cream, light, 1 cup",469
"Egg nog, 1 cup",342
"Half and half, 1 tbsp.",20
"Half and half, 1 cup",315
"Ice cream, vanilla, hard, 1 cup",269
"Ice cream, vanilla, soft, 1 cup",377
"Ice cream, ""death from within"", 1 cup",500
"Ice milk, vanilla, hard, 1 cup",184
"Ice milk, vanilla, soft, 1 cup",223
"Imitation sour cream, 1 tbsp.—Light Choice",25
"Margarine, 1 tbsp.",102
"Margarine, 1 stick",816
"Milk, low fat, 8 fl. oz., 1% fat",102
"Milk, low fat, 8 fl. oz., 2% fat",121
"Milk, nonfat (skim), 8 fl. oz.",86
"Milk, whole, 8 fl. oz. 3.3% fat",150
"Non-dairy creamer, 1 tsp.",11
"Soft margarine, 1 tbsp.—Fleishmann",100
"Sour cream, 1 tbsp.",26
"Sour cream, 1 cup",493
"Squeeze cheese, 1 oz.",82
"Velveeta cheese, 1 oz.",80
"Velveeta cheese slices, 3/4 oz. slice",68
"Whipped cream, 1 cup, canned pressurised",154
"Whipping cream, heavy, 1 cup, whipped",410
"Whipping cream, light, 1 cup, whipped",349
"Yogurt, Weight Watchers",150
"Yogurt, Dannon plain, 1 cup",140
"Yogurt, Dannon vanilla, 8 oz.",210
"Yogurt, Dannon with fruit, 1 cup",240
"Yogurt, plain, 1 cup",150
"Angel food cake, 1/12 of 9  in. cake",137
"Apple pie, frozen, 1/6 of pie, Banquet",250
"Apple spice cake, 1 Hostess Light",130
"Banana cake, from mix, 1/12 cake—Pillsbury",250
"Blackout pudding cake, Entenmann's 1/12 of cake",96
"Blueberry crunch cake, Entenmann's 1/12 of cake",113
"Carrot 'n Spice cake, Pillsbury mix—1/12 cake",260
"Carrot cake, Entenmann's 1/12 of cake",114
"Cheese crumb Babka, Entenmann's 1/12 of cake",105
"Cherry pie, frozen, 1/6 pie, Banquet",250
"Chocolate cake, 1/12 of 2 layer cake",308
"Chocolate fudge, 1 cu.  in.",84
"Chocolate pound cake, Entenmann's 1/12 of cake",123
"Cinnamon Raisin Danish, each, Pillsbury",140
"Cinnamon Roll, each, Pillsbury",210
"Coffee cake, apple raisin, Entenmann's 1/12 of cake",90
"Coffee cake, Bavarian creme, Entenmann's 1/12 of cake",103
"Coffee cake, cheese-filled, Entenmann's 1/12 of cake",105
"Coffee cake, cherry cheese, Entenmann's 1/12 of cake",90
"Crunch cake, banana walnut, Entenmann's 1/12 of cake",123
"Crystal Light popsicles, 1 diet frozen drink bar",14
"Devils food cake, 1/12 of 9  in. cake",312
"Double fudge cake, Entenmann's 1/12 of cake",116
"Fig Cake, Lance—2 1/8 oz.",210
"Frozen yogurt, peach, Sealtest fat-free, 1 cup",200
"Fudge brownie with walnuts, Pillsbury mix—2  in. square",150
"Fudge golden cake, Entenmann's 1/12 of cake",116
"Gingerbread cake, 1/9 of 8 x 8  in. cake",174
"Golden pound cake, Entenmann's 1/12 of cake",98
"Hershey's Fudge Topping, 1 tbsp.",50
"Hostess lights, 1 apple spice cake",130
"Iced cinnamon roll, Pillsbury",110
"Lemon twist, Entenmann's 1/12 of cake",113
"Oatmeal Cake, Lance—creme-filled",240
"Orange Danish, Pillsbury",140
"Orange sunshine cake, Entenmann's 1/12 of cake",105
"Peach pie, 1/8 pie",301
"Pecan pie, 1/8 of 9  in. pie",431
"Pumpkin pie, 1/8 pie",241
"Raspberry twist, Entenmann's 1/12 of cake",113
"Streusel coffee cake, Pillsbury, 1/8 of cake",180
"Twinkies, each",160
"White cake, 1/12 of 2 layer cake",333
"Yellow cake, 1/12 of 2 layer cake",310
"Cheese pizza, 1 slice, 16  in. pizza",188
"Deluxe pizza, 1 slice, 16  in. pizza",299
"Ham pizza, 1 slice, 16  in. pizza",208
"Pepperoni pizza, 1 slice, 16  in. pizza",230
"Pizza, double cheese, 1 slice, 16  in. pizza",272
"Pizza, sausage & mushroom, 1 slice, 16 oz. pizza",215
"Veggie pizza, 1 slice, 16  in. pizza",249
"Blue cheese dressing, 1 tbsp.",77
"Blue cheese dressing, 1 cup",1235
"Blue cheese, low fat, 1 tbsp.",3
"Blue cheese, low fat, 1 cup",47
"Italian dressing, 1 tbsp.",69
"Italian dressing, 1 cup",1098
"Oil and vinegar dressing, Newman's Own, 1 tbsp.",81
"Ranch fat free dressing, Kraft, 1 tbsp.",16
"Ranch salad dressing, Hidden Valley 1 tbsp.",40
"Apple filled donut, each",250
"Cake donut, each",270
"Chocolate croissant, each",440
"Chocolate frosted donut, each",200
"Croissant, each",310
"Donut, Bavarian creme-filled, each",240
"Glazed donut, each",200
"Glazed French cruller, each",140
"Jelly donut, each",220
"Oat bran muffin, each",330
"Egg white, 1 large egg white",17
"Egg yolk, from 1 large egg",59
"Egg, fried in butter, 1 large egg",99
"Egg, raw, boiled, or poached, 1 large",82
"Scrambled eggs, 1 egg with butter & milk",111
"Scrambled eggs, 1 cup, with butter & milk",325
"Alaska King crab, 1 leg",129
"Alaska King crab, steamed, 4 oz.",109
"Blue crab, steamed, 1 cup or 4.8 oz.",138
"Catfish, fried, 4 oz. fillet",259
"Catfish, raw, 4 oz.",132
"Clams, canned, 1 can",112
"Crab cakes, 1 2 oz. cake",93
"Crab meat, canned, 1 cup or 4.8 oz.",133
"Crab, deviled, 1 cup",451
"Crab, deviled, frozen, Mrs. Paul's—1 cake",170
"Crayfish, steamed, 4 oz.",129
"Croaker, fried, 4 oz.",251
"Croaker, raw, 4 oz.",119
"Dolphinfish, raw, 4 oz.",97
"Eel, baked, 4 oz.",267
"Fish sticks, Mrs. Paul's, 4 sticks",200
"Fish, breaded and fried, 3 1/2 oz.",250
"Fish, raw, broiled, poached, 3 1/2 oz.",140
"Flounder, baked, 4 oz.",132
"Flounder, fried, 2 fillets, Mrs. Paul's",270
"Halibut, broiled, 4 oz.",194
"Mackerel, Atlantic, baked, 4 oz.",297
"Mackerel, Spanish, baked, 4 oz.",179
"Oysters, canned, 1 cup or 9 oz.",179
"Oysters, fried, 6 medium, or 3.14 oz.",173
"Oysters, steamed, 12 medium, or 3 oz.",117
"Perch, baked, 4 oz.",132
"Sardines in oil, drained, 3 3/4 oz.—Atlantic",192
"Sardines, tomato sauce, 3 3/4 oz.",189
"Scallops, frozen, Mrs. Paul's—3 1/2 oz.",230
"Scallops, fried, 4 oz. or 7 large scallops",242
"Scallops, steamed, 4 oz.",127
"Shad, raw, 4 oz.",223
"Shark, raw, 4 oz.",148
"Shrimp, fried, 4 oz.",275
"Shrimp, fried, frozen, Mrs. Paul's—3 oz.",200
"Shrimp, steamed, 4 oz.",112
"Surimi, 4 oz.",116
"Tuna, bluefin, steamed, 4 oz.",209
"Tuna, canned in oil, 1 6 1/4 oz. can, drained",331
"Tuna, canned in water, 1 6 1/4 oz. can",234
"Almond Chicken, La Choy frozen dinner",290
"Baby Bay Shrimp, Armour Dinner Classics Lite",250
"Baked Chicken Breast w/ gravy, Stouffer's frozen dinner",300
